Module,Algorithm,Function,Mean Error,Std Error,Best Error,Median Error,Worst Error,p-value vs Proposed,Outcome vs Proposed
resource_allocation,CBCC1,F1,7.613967402952224e-08,1.5810733754254637e-07,0.0,2.4132085606605554e-11,3.584473558063653e-07,1.0,≈
resource_allocation,CCFR3,F1,2.7685320113521273e-33,6.190625775267577e-33,0.0,0.0,1.3842660056760637e-32,0.009700785068229596,-
resource_allocation,CCMTO-MTES-DAKG,F1,2.066102583379285e-08,4.322408230313116e-08,1.974457578818034e-24,3.5750253127588044e-11,9.78704404183597e-08,1.0,\
resource_allocation,CBCC1,F2,331.2899199334721,57.77019843034156,267.93666585410983,324.9356997212575,425.4585288068261,0.5476190476190477,≈
resource_allocation,CCFR3,F2,331.7010994005576,58.27988555176062,266.94170679692377,324.0954511523168,425.16181830976495,1.0,≈
resource_allocation,CCMTO-MTES-DAKG,F2,329.75434068540665,58.22534098944847,266.94170679692303,323.10049209522435,425.1618183097658,1.0,\
resource_allocation,CBCC1,F4,907906.778302003,506083.0479581274,327300.0938239546,888456.2336700859,1688316.2772174077,0.2222222222222222,≈
resource_allocation,CCFR3,F4,26219538601.573895,21994185149.87175,8190926886.962215,14743763985.804853,57216439512.904045,0.007936507936507936,+
resource_allocation,CCMTO-MTES-DAKG,F4,1848599.321589321,3836245.1573221204,8333.68873342871,105644.78749467427,8705125.04897672,1.0,\
resource_allocation,CBCC1,F5,2275305.963110881,372847.3906454932,1806084.2917978012,2227965.9407529095,2850407.191729261,0.30952380952380953,≈
resource_allocation,CCFR3,F5,2444519.1466858825,238849.25216698306,2073140.928540774,2434410.0471716644,2673971.063486143,0.6904761904761905,≈
resource_allocation,CCMTO-MTES-DAKG,F5,2385536.7493179836,357328.1932705045,1921806.6925297012,2345449.2248202455,2911304.922251258,1.0,\
resource_allocation,CBCC1,F9,187476340.36067653,30226150.956577037,156008151.7275,188317163.19156075,234233091.83529037,0.30952380952380953,≈
resource_allocation,CCFR3,F9,181598320.94212145,29037397.169214386,142295313.80364153,181521467.8957292,220931526.04623076,0.42063492063492064,≈
resource_allocation,CCMTO-MTES-DAKG,F9,157119790.63694936,39465349.42606747,113825380.71816179,150031075.9785306,204429407.78189844,1.0,\
emto_algorithms,CCMTO-MaTDE,F1,165719320572.84702,26663615084.55947,126755786869.06818,170055654091.83887,189839809512.1912,0.007936507936507936,+
emto_algorithms,CCMTO-MTES-DAKG,F1,2.066102583379285e-08,4.322408230313116e-08,1.974457578818034e-24,3.5750253127588044e-11,9.78704404183597e-08,1.0,\
emto_algorithms,CCMTO-MaTDE,F2,45010.903959026065,3270.210518564156,40029.05657177182,45940.558876080606,48629.8094715264,0.007936507936507936,+
emto_algorithms,CCMTO-MTES-DAKG,F2,329.75434068540665,58.22534098944847,266.94170679692303,323.10049209522435,425.1618183097658,1.0,\
emto_algorithms,CCMTO-MaTDE,F4,104590955364961.8,46888526117416.414,61359194346029.56,100466335809854.31,176340093303414.5,0.007936507936507936,+
emto_algorithms,CCMTO-MTES-DAKG,F4,1848599.321589321,3836245.1573221204,8333.68873342871,105644.78749467427,8705125.04897672,1.0,\
emto_algorithms,CCMTO-MaTDE,F5,109097034.70851696,25735342.47354839,77885781.4226487,110307351.08957967,136001650.3979183,0.007936507936507936,+
emto_algorithms,CCMTO-MTES-DAKG,F5,2385536.7493179836,357328.1932705045,1921806.6925297012,2345449.2248202455,2911304.922251258,1.0,\
emto_algorithms,CCMTO-MaTDE,F9,721767998.2193606,34807954.538017265,670950688.0883203,720338783.4206488,762211620.5938588,0.007936507936507936,+
emto_algorithms,CCMTO-MTES-DAKG,F9,157119790.63694936,39465349.42606747,113825380.71816179,150031075.9785306,204429407.78189844,1.0,\
component_ablation,wo-DA,F1,4.2609163415818794e-08,5.366696019698633e-08,1.0899582334832478e-09,1.1056941572885733e-08,1.1894892310817683e-07,0.2222222222222222,≈
component_ablation,wo-DT-DoS,F1,3.758713393047456e-08,8.097730996996705e-08,0.0,4.5256941497999003e-10,1.823929192900861e-07,1.0,≈
